organisation,family,source_code,description,uom,quantity,unit_price,manufacturer,mfr_part_no,stock_on_hand,last_issue_date,truth_identity
BPCL,bearing_ball,BPCL-000047,BRG DGB 6205 BORE 25MM  2RS  NORMAL CLEARANCE  STL CAGE,EA,25.0,518.1,TSK,BB25-62-2RS-CN,2000.0,2023-02-11,BE00055
BPCL,bearing_ball,BPCL-000048,BRG DGB 6212 BORE 60MM  ZZ SHIELDED  C-4  MACHINED BRASS,BOX-50,1.0,73052.77,BRG,BB60-62-ZZ-C4,6.0,2026-01-28,BE00056
BPCL,bearing_ball,BPCL-000049,BRG DGB 6212 BORE 60MM  BRASS CAGE,EA,1.0,1306.3,,,800.0,2022-05-05,BE00056
BPCL,bearing_ball,BPCL-000050,BRG DGB 6001 BORE 12MM  2-RS  C3  PRESSED STEEL,EA,1.0,425.55,,,2000.0,2021-06-12,BE00057
BPCL,bearing_ball,BPCL-000051,BRG DGB 6001 BORE 12MM  RUBBER SEALED  C3,EA,1.0,256.56,,,0.0,,BE00057
BPCL,bearing_ball,BPCL-000052,BRG DGB 6208 BORE 40MM  DOUBLE SEALED,DOZ,1.0,8268.17,RVN,BB40-62-2RS-C3,3.33,2025-10-28,BE00058
BPCL,bearing_ball,BPCL-000053,BRG DGB 6001 BORE 12MM  DOUBLE SEALED  STEEL CAGE,EA,25.0,376.86,RVN,BB12-60-2RS-C4,2000.0,2021-10-11,BE00059
BPCL,bearing_ball,BPCL-000054,BRG DGB 6212 BORE 60MM  NO SEAL,EA,5.0,773.63,,,0.0,,BE00060
BPCL,bearing_ball,BPCL-000055,BRG DGB 6212 BORE 60MM  C-4,EA,1.0,879.83,TSK,BB60-62-OPEN-C4,800.0,2023-07-01,BE00060
BPCL,bearing_ball,BPCL-000056,BRG DGB 6212 BORE 60MM  UNSEALED  C-4,EA,10.0,1236.7,TSK,BB60-62-OPEN-C4,0.0,,BE00060
BPCL,bearing_ball,BPCL-000057,BRG DGB 6308 BORE 40MM  DOUBLE SHIELDED,EA,1.0,931.52,,,300.0,2026-03-19,BE00063
BPCL,bearing_ball,BPCL-000058,BRG DGB 6308 BORE 40MM  DOUBLE SHIELDED  C3,DOZ,10.0,9148.75,,,166.67,2023-06-08,BE00063
BPCL,bearing_ball,BPCL-000059,BRG DGB 6308 BORE 40MM  DOUBLE SHIELDED  C3,EA,5.0,1209.04,AXL,BB40-63-ZZ-C3,300.0,2026-01-01,BE00063
BPCL,bearing_ball,BPCL-000060,BRG DGB 6308 BORE 40MM  ZZ SHIELDED  C3  MACHINED BRASS,EA,1.0,757.97,AXL,BB40-63-ZZ-C3,0.0,,BE00063
BPCL,bearing_ball,BPCL-000061,BRG DGB 6305 BORE 25MM  DOUBLE SEALED  MACHINED BRASS,EA,10.0,708.01,TSK,BB25-63-2RS-C4,600.0,2025-11-15,BE00065
BPCL,bearing_ball,BPCL-000062,BRG DGB 6006 BORE 30MM  STD CLEARANCE  PA66,DOZ,1.0,5495.05,,,25.0,2025-08-29,BE00066
BPCL,bearing_ball,BPCL-000063,BRG DGB 6006 BORE 30MM  SHLD  C3,BOX-50,25.0,21137.02,AXL,BB30-60-ZZ-C3,0.0,,BE00067
BPCL,bearing_ball,BPCL-000064,BRG DGB 6208 BORE 40MM  SEALED-2  C4,EA,1.0,899.12,,,0.0,,BE00068
BPCL,bearing_ball,BPCL-000065,BRG DGB 6209 BORE 45MM  ZZ  CN  MACHINED BRASS,EA,10.0,1025.2,AXL,BB45-62-ZZ-CN,0.0,,BE00069
BPCL,bearing_ball,BPCL-000066,BRG DGB 6209 BORE 45MM  ZZ SHIELDED  CN  BRASS CAGE,EA,10.0,1298.6,,,600.0,2025-09-27,BE00069
BPCL,bearing_ball,BPCL-000067,BRG DGB 6302 BORE 15MM  CN,EA,1.0,326.38,TSK,BB15-63-ZZ-CN,800.0,2022-01-10,BE00071
BPCL,bearing_ball,BPCL-000068,BRG DGB 6302 BORE 15MM  2Z  STD CLEARANCE  NYLON,EA,1.0,360.63,TSK,BB15-63-ZZ-CN,0.0,,BE00071
BPCL,bearing_ball,BPCL-000069,BRG DGB 6302 BORE 15MM  2Z,DOZ,5.0,4251.27,,,25.0,2025-12-17,BE00071
BPCL,bearing_ball,BPCL-000070,BRG DGB 6302 BORE 15MM  ZZ  CN,EA,5.0,406.75,,,3500.0,2021-05-10,BE00071
BPCL,bearing_ball,BPCL-000071,BRG DGB 6305 BORE 25MM  2RS1  C3  STEEL CAGE,BOX-50,1.0,33585.38,RVN,BB25-63-2RS-C3,12.0,2025-12-31,BE00072
BPCL,bearing_ball,BPCL-000072,BRG DGB 6007 BORE 35MM  RS2  STEEL CAGE,EA,1.0,523.81,RVN,BB35-60-2RS-CN,300.0,2025-09-08,BE00075
BPCL,bearing_ball,BPCL-000073,BRG DGB 6209 BORE 45MM  UNSEALED  STEEL CAGE,DOZ,25.0,8944.96,,,50.0,2026-02-09,BE00077
BPCL,bearing_ball,BPCL-000074,BRG DGB 6209 BORE 45MM  OPEN  C4  STEEL CAGE,BOX-50,1.0,48144.82,,,0.0,,BE00077
BPCL,bearing_ball,BPCL-000075,BRG DGB 6300 BORE 10MM  STEEL CAGE,DOZ,5.0,3714.45,,,291.67,2023-06-23,BE00079
BPCL,bearing_ball,BPCL-000076,BRG DGB 6004 BORE 20MM  2RS1  C-3  STEEL CAGE,DOZ,1.0,6694.73,BRG,BB20-60-2RS-C3,0.0,,BE00080
BPCL,bearing_ball,BPCL-000077,BRG DGB 6004 BORE 20MM  DOUBLE SEALED  C3  PRESSED STEEL,EA,10.0,392.78,BRG,BB20-60-2RS-C3,40.0,2025-10-27,BE00080
BPCL,bearing_ball,BPCL-000078,BRG DGB 6004 BORE 20MM  DOUBLE SEALED  C3  PRESSED STEEL,DOZ,1.0,5773.11,BRG,BB20-60-2RS-C3,0.0,,BE00080
BPCL,bearing_ball,BPCL-000079,BRG DGB 6210 BORE 50MM  2RS  C3,EA,1.0,892.2,TSK,BB50-62-2RS-C3,0.0,,BE00082
BPCL,bearing_ball,BPCL-000080,BRG DGB 6210 BORE 50MM  2RS1  C3  BRASS CAGE,EA,25.0,861.39,TSK,BB50-62-2RS-C3,0.0,,BE00082
BPCL,bearing_ball,BPCL-000081,BRG DGB 6210 BORE 50MM  DOUBLE SEALED  BRASS CAGE,EA,5.0,1284.88,,,40.0,2026-02-21,BE00082
BPCL,bearing_ball,BPCL-000082,BRG DGB 6301 BORE 12MM  SEALED-2  C4,EA,10.0,668.38,,,300.0,2026-01-28,BE00083
BPCL,bearing_ball,BPCL-000083,BRG DGB 6006 BORE 30MM  OPEN  STD CLEARANCE  BRASS CAGE,DOZ,10.0,7098.23,,,66.67,2023-01-09,BE00085
BPCL,bearing_ball,BPCL-000084,BRG DGB 6205 BORE 25MM  SEALED-2  CLR C4  MACHINED BRASS,EA,5.0,678.95,BRG,BB25-62-2RS-C4,150.0,2025-09-08,BE00086
BPCL,bearing_ball,BPCL-000085,BRG DGB 6205 BORE 25MM  2RS  C-4  BRASS CAGE,BOX-50,25.0,40802.84,BRG,BB25-62-2RS-C4,0.0,,BE00086
BPCL,bearing_ball,BPCL-000086,BRG DGB 6204 BORE 20MM  UNSEALED  C3  STEEL CAGE,BOX-50,1.0,23297.46,,,0.0,,BE00088
BPCL,bearing_ball,BPCL-000087,BRG DGB 6204 BORE 20MM  UNSEALED  CLR C3  STEEL CAGE,EA,10.0,468.42,TSK,BB20-62-OPEN-C3,300.0,2025-10-13,BE00088
BPCL,bearing_ball,BPCL-000088,BRG DGB 6305 BORE 25MM  ZZ SHIELDED  C3  STEEL CAGE,EA,10.0,367.07,RVN,BB25-63-ZZ-C3,80.0,2025-08-20,BE00090
BPCL,bearing_ball,BPCL-000089,BRG DGB 6303 BORE 17MM  NO SEAL  POLYAMIDE,BOX-50,1.0,15121.02,BRG,BB17-63-OPEN-C3,0.0,,BE00091
BPCL,bearing_ball,BPCL-000090,BRG DGB 6001 BORE 12MM  NO SEAL  CN  BRASS CAGE,EA,1.0,439.12,,,1200.0,2022-04-16,BE00092
BPCL,bearing_ball,BPCL-000091,BRG DGB 6300 BORE 10MM  NO SEAL  NORMAL CLEARANCE  NYLON,DOZ,1.0,2713.55,BRG,BB10-63-OPEN-CN,0.0,,BE00094
BPCL,bearing_ball,BPCL-000092,BRG DGB 6300 BORE 10MM  STD CLEARANCE,EA,25.0,246.41,BRG,BB10-63-OPEN-CN,0.0,,BE00094
BPCL,bearing_ball,BPCL-000093,BRG DGB 6304 BORE 20MM  DOUBLE SEALED  C3,EA,1.0,549.36,,,1200.0,2021-12-10,BE00095
BPCL,bearing_ball,BPCL-000094,BRG DGB 6304 BORE 20MM  2RS1  C3,DOZ,1.0,4691.08,TSK,BB20-63-2RS-C3,0.0,,BE00095
BPCL,bearing_ball,BPCL-000095,BRG DGB 6301 BORE 12MM  UNSEALED  C-3,EA,1.0,350.08,TSK,BB12-63-OPEN-C3,3500.0,2022-11-12,BE00096
BPCL,bearing_ball,BPCL-000096,BRG DGB 6307 BORE 35MM  STD CLEARANCE  BRASS CAGE,DOZ,25.0,11182.18,RVN,BB35-63-2RS-CN,66.67,2021-11-21,BE00099
BPCL,bearing_ball,BPCL-000097,BRG DGB 6200 BORE 10MM  CN  MACHINED BRASS,BOX-50,25.0,29425.97,TSK,BB10-62-2RS-CN,0.0,,BE00104
BPCL,bearing_ball,BPCL-000098,BRG DGB 6306 BORE 30MM  NO SEAL  C4  BRASS CAGE,BOX-50,1.0,41345.88,,,0.0,,BE00105
BPCL,bearing_ball,BPCL-000099,BRG DGB 6306 BORE 30MM  NO SEAL  C4,EA,1.0,964.45,,,0.0,,BE00105
BPCL,bearing_ball,BPCL-000100,BRG DGB 6306 BORE 30MM  UNSEALED  C4  BRASS CAGE,EA,10.0,706.56,,,0.0,,BE00105
BPCL,bearing_ball,BPCL-000101,BRG DGB 6009 BORE 45MM  UNSEALED,DOZ,1.0,10127.58,AXL,BB45-60-OPEN-CN,0.0,,BE00106
BPCL,bearing_ball,BPCL-000102,BRG DGB 6307 BORE 35MM  OPEN  C-3  NYLON,DOZ,10.0,9492.07,BRG,BB35-63-OPEN-C3,6.67,2025-12-18,BE00107
BPCL,bearing_ball,BPCL-000103,BRG DGB 6201 BORE 12MM  RUBBER SEALED,EA,1.0,335.09,,,0.0,,BE00108
BPCL,bearing_ball,BPCL-000104,BRG DGB 6203 BORE 17MM  SEALED-2  C-3  MACHINED BRASS,DOZ,25.0,6127.63,TSK,BB17-62-2RS-C3,0.0,,BE00111
BPCL,bearing_ball,BPCL-000105,BRG DGB 6203 BORE 17MM  DOUBLE SEALED  C3,BOX-50,25.0,26214.09,,,24.0,2022-10-27,BE00111
BPCL,bearing_ball,BPCL-000106,BRG DGB 6203 BORE 17MM  2RS,BOX-50,1.0,26688.24,TSK,BB17-62-2RS-C3,0.8,2026-02-26,BE00111
BPCL,bearing_ball,BPCL-000107,BRG DGB 6203 BORE 17MM  2RS1  MACHINED BRASS,DOZ,25.0,6241.86,TSK,BB17-62-2RS-C3,12.5,2025-08-21,BE00111
BPCL,bearing_ball,BPCL-000108,BRG DGB 6206 BORE 30MM  ZZ SHIELDED  CN,BOX-50,5.0,26572.75,,,6.0,2025-09-03,BE00112
BPCL,bearing_ball,BPCL-000109,BRG DGB 6003 BORE 17MM  ZZ SHIELDED  STD CLEARANCE,DOZ,1.0,8587.69,,,12.5,2025-10-13,BE00116
BPCL,bearing_ball,BPCL-000110,BRG DGB 6008 BORE 40MM  DOUBLE SHIELDED  C-3,EA,10.0,843.73,RVN,BB40-60-ZZ-C3,150.0,2025-08-16,BE00117
BPCL,bearing_ball,BPCL-000111,BRG DGB 6000 BORE 10MM  OPEN  BRASS CAGE,BOX-50,1.0,22144.08,RVN,BB10-60-OPEN-CN,3.0,2025-09-20,BE00121
BPCL,bearing_ball,BPCL-000112,BRG DGB 6000 BORE 10MM  2RS  CN  STEEL CAGE,BOX-50,25.0,16986.94,,,3.0,2026-01-25,BE00123
BPCL,bearing_ball,BPCL-000113,BRG DGB 6008 BORE 40MM  STD CLEARANCE  BRASS CAGE,EA,1.0,1077.29,,,600.0,2026-03-10,BE00124
BPCL,bearing_ball,BPCL-000114,BRG DGB 6308 BORE 40MM  NO SEAL  CN,DOZ,1.0,11771.72,,,66.67,2023-02-25,BE00125
BPCL,bearing_ball,BPCL-000115,BRG DGB 6012 BORE 60MM  UNSEALED  CN  BRASS CAGE,BOX-50,25.0,81751.14,,,3.0,2025-10-31,BE00126
BPCL,bearing_ball,BPCL-000116,BRG DGB 6012 BORE 60MM  NO SEAL  NORMAL CLEARANCE  BRS CAGE,EA,1.0,1395.6,AXL,BB60-60-OPEN-CN,0.0,,BE00126
BPCL,bearing_ball,BPCL-000117,BRG DGB 6300 BORE 10MM  2-RS,EA,25.0,226.27,,,0.0,,BE00127
BPCL,bearing_ball,BPCL-000118,BRG DGB 6004 BORE 20MM  2RS  CN,EA,10.0,517.29,RVN,BB20-60-2RS-CN,2000.0,2021-07-18,BE00128
BPCL,bearing_ball,BPCL-000119,BRG DGB 6004 BORE 20MM  DOUBLE SEALED  NORMAL CLEARANCE,EA,1.0,406.92,,,80.0,2025-10-24,BE00128
BPCL,bearing_ball,BPCL-000120,BRG DGB 6307 BORE 35MM  POLYAMIDE,DOZ,5.0,9703.27,,,6.67,2025-08-04,BE00129
BPCL,bearing_ball,BPCL-000121,BRG DGB 6210 BORE 50MM  SHLD  STD CLEARANCE  PRESSED STEEL,EA,1.0,995.69,TSK,BB50-62-ZZ-CN,600.0,2026-01-26,BE00131
BPCL,bearing_ball,BPCL-000122,BRG DGB 6302 BORE 15MM  DOUBLE SEALED  C4  MACHINED BRASS,DOZ,25.0,9023.79,AXL,BB15-63-2RS-C4,291.67,2023-05-21,BE00132
BPCL,bearing_ball,BPCL-000123,BRG DGB 6203 BORE 17MM  DOUBLE SEALED  C-4,BOX-50,1.0,16601.13,TSK,BB17-62-2RS-C4,6.0,2025-09-21,BE00134
BPCL,bearing_ball,BPCL-000124,BRG DGB 6004 BORE 20MM  2RS1  C-4,EA,1.0,563.95,,,0.0,,BE00135
BPCL,bearing_ball,BPCL-000125,BRG DGB 6004 BORE 20MM  DOUBLE SEALED  C4,DOZ,1.0,5993.09,AXL,BB20-60-2RS-C4,25.0,2025-09-21,BE00135
BPCL,bearing_ball,BPCL-000126,BRG DGB 6010 BORE 50MM  DOUBLE SHIELDED  C4,EA,1.0,1138.04,BRG,BB50-60-ZZ-C4,0.0,,BE00136
BPCL,bearing_ball,BPCL-000127,BRG DGB 6010 BORE 50MM  C-4  POLYAMIDE,BOX-50,1.0,51654.26,BRG,BB50-60-ZZ-C4,0.0,,BE00136
BPCL,bearing_ball,BPCL-000128,BRG DGB 6208 BORE 40MM  ZZ SHIELDED  C3 CLR,EA,1.0,871.96,,,600.0,2026-02-10,BE00137
BPCL,bearing_ball,BPCL-000129,BRG DGB 6309 BORE 45MM  NO SEAL  C-3,EA,1.0,940.79,,,80.0,2026-02-23,BE00139
BPCL,bearing_ball,BPCL-000130,BRG DGB 6309 BORE 45MM  NO SEAL  C-3  MACHINED BRASS,EA,10.0,799.76,TSK,BB45-63-OPEN-C3,0.0,,BE00139
BPCL,bearing_ball,BPCL-000131,BRG DGB 6208 BORE 40MM  ZZ  C4  POLYAMIDE,BOX-50,5.0,34319.2,TSK,BB40-62-ZZ-C4,6.0,2026-03-26,BE00143
BPCL,bearing_ball,BPCL-000132,BRG DGB 6302 BORE 15MM  METAL SHIELDED  C-4  MACHINED BRASS,EA,1.0,467.9,,,0.0,,BE00145
BPCL,bearing_ball,BPCL-000133,BRG DGB 6210 BORE 50MM  2Z  C4  NYLON,EA,1.0,711.31,BRG,BB50-62-ZZ-C4,2000.0,2023-07-25,BE00147
BPCL,bearing_ball,BPCL-000134,BRG DGB 6210 BORE 50MM  METAL SHIELDED  C4,EA,1.0,840.77,BRG,BB50-62-ZZ-C4,800.0,2023-07-28,BE00147
BPCL,bearing_ball,BPCL-000135,BRG DGB 6305 BORE 25MM  2RS  POLYAMIDE,BOX-50,1.0,35351.76,AXL,BB25-63-2RS-CN,6.0,2026-03-22,BE00149
BPCL,bearing_ball,BPCL-000136,BRG DGB 6305 BORE 25MM  DOUBLE SEALED  NORMAL CLEARANCE  POLYAMIDE,DOZ,10.0,5026.49,,,12.5,2025-08-30,BE00149
BPCL,bearing_ball,BPCL-000137,BRG DGB 6305 BORE 25MM  NORMAL CLEARANCE  PA66,EA,1.0,546.67,,,40.0,2026-02-04,BE00149
BPCL,bearing_ball,BPCL-000138,BRG DGB 6305 BORE 25MM  RUBBER SEALED,DOZ,1.0,4963.36,,,100.0,2021-11-30,BE00149
BPCL,bearing_ball,BPCL-000139,BRG DGB 6205 BORE 25MM  RS2  BRASS CAGE,EA,25.0,646.03,,,800.0,2022-04-08,BE00151
BPCL,bearing_ball,BPCL-000140,BRG DGB 6205 BORE 25MM  DOUBLE SEALED  C-3  MACHINED BRASS,EA,1.0,880.29,,,3500.0,2023-03-28,BE00151
BPCL,bearing_ball,BPCL-000141,BRG DGB 6201 BORE 12MM  STD CLEARANCE,EA,5.0,638.66,,,0.0,,BE00155
BPCL,bearing_ball,BPCL-000142,BRG DGB 6201 BORE 12MM  METAL SHIELDED  STD CLEARANCE  MACHINED BRASS,EA,25.0,442.26,AXL,BB12-62-ZZ-CN,800.0,2021-05-13,BE00155
BPCL,bearing_ball,BPCL-000143,BRG DGB 6201 BORE 12MM  2Z  CN  BRASS CAGE,EA,1.0,375.45,,,40.0,2026-01-06,BE00155
BPCL,bearing_ball,BPCL-000144,BRG DGB 6201 BORE 12MM  METAL SHIELDED  MACHINED BRASS,EA,5.0,409.23,AXL,BB12-62-ZZ-CN,150.0,2025-11-23,BE00155
BPCL,bearing_ball,BPCL-000145,BRG DGB 6008 BORE 40MM  2RS  CN,EA,1.0,544.22,,,2000.0,2021-10-06,BE00157
BPCL,bearing_ball,BPCL-000146,BRG DGB 6008 BORE 40MM  2RS  NORMAL CLEARANCE  STL CAGE,BOX-50,10.0,48860.96,RVN,BB40-60-2RS-CN,12.0,2025-10-17,BE00157
BPCL,bearing_ball,BPCL-000147,BRG DGB 6008 BORE 40MM  RUBBER SEALED  NORMAL CLEARANCE,EA,1.0,679.51,RVN,BB40-60-2RS-CN,0.0,,BE00157
BPCL,bearing_ball,BPCL-000148,BRG DGB 6008 BORE 40MM  DOUBLE SEALED  CN,EA,5.0,864.36,,,0.0,,BE00157
BPCL,bearing_ball,BPCL-000149,BRG DGB 6308 BORE 40MM  METAL SHIELDED  C-4,EA,1.0,843.59,RVN,BB40-63-ZZ-C4,80.0,2026-02-28,BE00158
BPCL,bearing_ball,BPCL-000150,BRG DGB 6304 BORE 20MM  UNSEALED  C-4,EA,25.0,485.93,,,150.0,2025-08-04,BE00161
BPCL,bearing_ball,BPCL-000151,BRG DGB 6204 BORE 20MM  UNSEALED  NORMAL CLEARANCE,EA,1.0,740.94,,,0.0,,BE00162
BPCL,bearing_ball,BPCL-000152,BRG DGB 6204 BORE 20MM  NO SEAL  NORMAL CLEARANCE,EA,10.0,564.1,,,80.0,2025-08-23,BE00162
